char1,一
char2,二
char3,三
char4,十
char5,士
char6,王
char7,工
char8,土
char9,井
char10,上
char11,正
char12,非
char13,日
char14,曰
char15,田
char16,中
char17,甲
char18,申
char19,人
char20,大
char21,太
char22,又
char23,天
char24,夫
char25,反
char26,及
char27,及
char28,今
char29,令
char30,含
char31,后
char32,丘
char33,重
char34,生
char35,呈
char36,旨
char37,未
char38,來
char39,東
char40,末
char41,水
char42,永
char43,乎
char44,宇
char45,享
char46,承
char47,子
char48,學
char49,力
char50,勿
char51,方
char52,功
char53,物
char54,灼
char55,代
char56,戒
char57,我
char58,感
char59,載
char60,職
char61,心
char62,思
char63,忘
char64,恩
char65,德
char66,慮
char67,也
char68,元
char69,光
char70,地
char71,挹 
char72,觀
char73,玉
char74,至
char75,下
char76,立
char77,文
char78,言
char79,云
char80,玄
char81,公
char82,不
char83,丕
char84,食
char85,並
char86,若
char87,兼
char88,前
char89,美
char90,養
char91,六
char92,其
char93,典
char94,黃
char95,與
char96,伯
char97,仁
char98,作
char99,清
char100,地
char101,持
char102,利
char103,則
char104,形
char105,列
char106,往
char107,去
char108,之
char109,夏
char110,肌
char111,改
char112,效
char113,致
char114,理
char115,歐
char116,欲
char117,延
char118,遠
char119,首
char120,踰
char121,起
char122,固
char123,內
char124,時
char125,加
char126,銘
char127,官
char128,當
char129,經
char130,京
char131,紀
char132,聞
char133,雲
char134,萬
char135,寶
char136,孟
char137,怡
char138,案
char139,無
char140,唯
char141,陳
char142,風
char143,疾
char144,荷
char145,屋
char146,福
char147,在
char148,登
char149,亂
char150,寧
char151,成
char152,宮
char153,泉
char154,銘
char155,監
char156,撿
char157,交
char158,侍
char159,鉅
char160,郡
char161,徵
char162,奉
char163,撰
char164,暑
char165,此
char166,避
char167,隨
char168,也
char169,冠
char170,抗
char171,殿
char172,絕
char173,壑
char174,池
char175,跨
char176,架
char177,四
char178,棟
char179,葛
char180,臺
char181,周
char182,視
char183,暉
char184,榭
char185,碧
char186,霞
char187,虧
char188,窮
char189,足
char190,炎
char191,尤
char192,從
char193,深
char194,淒
char195,徐
char196,誠
char197,蒸
char198,勝
char199,弱
char200,撫
char201,始
char202,營
char203,億
char204,壹
char205,終
char206,懷
char207,動
char208,信
char209,譯
char210,輪
char211,淑
char212,肅
char213,州
char214,拒
char215,充
char216,編
char217,戶
char218,咸
char219,群
char220,畢
char221,靈
char222,臻
char223,儀
char224,藉
char225,遺
char226,雨
char227,勞
char228,堯
char229,猶
char230,屢
char231,甚
char232,離
char233,請
char234,家
char235,惜
char236,性
char237,庶
char238,產
char239,肯
char240,俯
char241,毀
char242,襄
char243,貴
char244,循
char245,樸
char246,必
char247,頹
char248,損
char249,壞
char250,雜
char251,粉
char252,丹
char253,礫
char254,泥
char255,階
char256,茅
char257,麗
char258,壁
char259,砌
char260,接
char261,續
char262,瓊
char263,察
char264,鑑
char265,儉
char266,垂
char267,訓
char268,昆
char269,後
char270,聖
char271,彼
char272,既
char273,竭
char274,謂
char275,卑
char276,者
char277,引
char278,谷
char279,本
char280,乏
char281,求
char282,城
char283,旬
char284,己
char285,歷
char286,厥
char287,步
char288,覺
char289,潤
char290,杖
char291,導
char292,涌
char293,檻
char294,渠
char295,鏡
char296,味
char297,注
char298,霄
char299,右
char300,度
char301,貫
char302,房
char303,激
char304,揚
char305,波
char306,紫
char307,雙
char308,蕩
char309,將
char310,匪
char311,精
char312,殺
char313,罪
char314,賞
char315,錫
char316,得
char317,禮
char318,則
char319,醴
char320,出
char321,庭
char322,鶡
char323,圖
char324,純
char325,和
char326,飲
char327,獻
char328,壽
char329,漢
char330,武
char331,年
char332,師
char333,痼
char334,皆
char335,愈
char336,然
char337,神
char338,扶
char339,明
char340,蠲
char341,?
char342,沉
char343,遐
char344,齡
char345,是
char346,以
char347,百
char348,辟
char349,卿
char350,相
char351,色
char352,懷
char353,弗
char354,有
char355,雖
char356,休
char357,昔
char358,祥
char359,為
char360,實
char361,驗
char362,斯
char363,帝
char364,豈
char365,臣
char366,所
char367,顯
char368,但
char369,書
char370,事
char371,使
char372,國
char373,盛
char374,敢
char375,錄
char376,爰
char377,詞
char378,皇
char379,運
char380,千
char381,膺
char382,期
char383,高
char384,勤
char385,禹
char386,邁
char387,五
char388,握
char389,機
char390,蹈
char391,矩
char392,克
char393,禍
char394,紀
char395,開
char396,闢
char397,冕
char398,並
char399,琛
char400,道
char401,名
char402,潛
char403,幾
char404,莫
char405,測
char406,鑿
char407,而
char408,耕
char409,靡
char410,謝
char411,安
char412,知
char413,臭
char414,聲
char415,類
char416,品
char417,流
char418,變
char419,質
char420,應
char421,焉
char422,如
char423,響
char424,景
char425,葳
char426,繁
char427,祉
char428,龍
char429,龜
char430,鳳
char431,烏
char432,趾
char433,頌
char434,輟
char435,停
char436,史
char437,善
char438,降
char439,智
char440,謙
char441,潺
char442,湲
char443,潔
char444,甘
char445,冰
char446,凝
char447,澈
char448,用
char449,泰
char450,慶
char451,夕
char452,惕
char453,居
char454,崇
char455,樂
char456,般
char457,憂
char458,玩
char459,華
char460,淳
char461,墜
char462,滿
char463,念
char464,保
char465,貞
char466,率
char467,更
char468,勃
char469,海
char470,陽
char471,詢
char472,丁
char473,七
char474,万
char475,且
char476,世
char477,丞
char478,丸
char479,主
char480,乖
char481,乘
char482,九
char483,予
char484,于
char485,互
char486,亡
char487,亦
char488,亨
char489,亭
char490,亮
char491,什
char492,仍
char493,仕
char494,仗
char495,仙
char496,仞
char497,仰
char498,仲
char499,任
char500,企
char501,伊
char502,伏
char503,伐
char504,伽
char505,佇
char506,位
char507,佐
char508,何
char509,佛
char510,佳
char511,侈
char512,侔
char513,供
char514,依
char515,侯
char516,侵
char517,侶
char518,便
char519,俄
char520,俊
char521,俎
char522,俗
char523,俘
char524,俱
char525,俾
char526,倚
char527,倦
char528,倫
char529,偃
char530,偈
char531,側
char532,傑
char533,備
char534,傳
char535,傷
char536,傾
char537,僕
char538,僚
char539,僧
char540,價
char541,?
char542,儌
char543,儒
char544,儔
char545,優
char546,儼
char547,允
char548,兄
char549,兇
char550,先
char551,免
char552,兔
char553,入
char554,全
char555,八
char556,共
char557,兵
char558,具
char559,冀
char560,冉
char561,冑
char562,冤
char563,冬
char564,冶
char565,准
char566,凋
char567,凌
char568,几
char569,凡
char570,凱
char571,凶
char572,刀
char573,分
char574,切
char575,刊
char576,初
char577,判
char578,到
char579,刑
char580,制
char581,刺
char582,剸
char583,劃
char584,劫
char585,?
char586,敕
char587,勒
char588,務
char589,勢
char590,勣
char591,勳
char592,包
char593,化
char594,北
char595,匱
char596,匹
char597,區
char598,卅
char599,協
char600,南
char601,博
char602,卜
char603,卞
char604,印
char605,危
char606,卹
char607,即
char608,厚
char609,原
char610,參
char611,友
char612,取
char613,受
char614,叛
char615,口
char616,古
char617,可
char618,台
char619,?
char620,司
char621,吁
char622,同
char623,吏
char624,吐
char625,君
char626,吟
char627,否
char628,吳
char629,吹
char630,吾
char631,?
char632,命
char633,咀
char634,咨
char635,哀
char636,哥
char637,唐
char638,問
char639,?
char640,喈
char641,喻
char642,喪
char643,嗌
char644,嘉
char645,嘯
char646,嚴
char647,囊
char648,因
char649,圍
char650,園
char651,圓
char652,均
char653,坤
char654,垣
char655,域
char656,執
char657,基
char658,堂
char659,堅
char660,堤
char661,報
char662,場
char663,塔
char664,塗
char665,塵
char666,墀
char667,境
char668,墉
char669,墓
char670,增
char671,墨
char672,墳
char673,壇
char674,壘
char675,壤
char676,外
char677,夙
char678,多
char679,夜
char680,奄
char681,奇
char682,契
char683,奔
char684,弈
char685,奘
char686,奠
char687,奧
char688,奪
char689,好
char690,妙
char691,妾
char692,委
char693,威
char694,婁
char695,媚
char696,媯
char697,孔
char698,孕
char699,字
char700,存
char701,孝
char702,季
char703,孤
char704,孫
char705,熟
char706,宅
char707,守
char708,宏
char709,宗
char710,宜
char711,客
char712,宣
char713,室
char714,宴
char715,宸
char716,容
char717,宿
char718,寄
char719,密
char720,寇
char721,寓
char722,寔
char723,寫
char724,寵
char725,寺
char726,封
char727,射
char728,專
char729,尉
char730,尋
char731,對
char732,小
char733,少
char734,尚
char735,尼
char736,局
char737,展
char738,屠
char739,屐
char740,履
char741,屬
char742,屯
char743,山
char744,岑
char745,岫
char746,岳
char747,峙
char748,峻
char749,崢
char750,嵎
char751,嵐
char752,蒿
char753,嶸
char754,嶽
char755,巒
char756,巖
char757,川
char758,巡
char759,巢
char760,左
char761,差
char762,已
char763,市
char764,布
char765,希
char766,帛
char767,師
char768,席
char769,帶
char770,幘
char771,幟
char772,平
char773,并
char774,幽
char775,序
char776,底
char777,庚
char778,府
char779,康
char780,庸
char781,廌
char782,廉
char783,廊
char784,廓
char785,廟
char786,廢
char787,廣
char788,建
char789,迴
char790,弁
char791,弄
char792,弊
char793,式
char794,弓
char795,弟
char796,弧
char797,張
char798,強
char799,彈
char800,?
char801,彥
char802,彫
char803,影
char804,待
char805,律
char806,徒
char807,復
char808,徹
char809,徽
char810,忉
char811,忍
char812,志
char813,忠
char814,忽
char815,恃
char816,恕
char817,恨
char818,恬
char819,恭
char820,悅
char821,悌
char822,悍
char823,悖
char824,悟
char825,悲
char826,悼
char827,情
char828,惟
char829,惠
char830,惡
char831,意
char832,愛
char833,愷
char834,慎
char835,慈
char836,態
char837,慌
char838,?
char839,慝
char840,慟
char841,慧
char842,慨
char843,慰
char844,憑
char845,憫
char846,懇
char847,懋
char848,懣
char849,懸
char850,戈
char851,戎
char852,或
char853,截
char854,戾
char855,扃
char856,扇
char857,技
char858,投
char859,折
char860,披
char861,抱
char862,抽
char863,拔
char864,拜
char865,括
char866,按
char867,振
char868,挺
char869,捕
char870,捷
char871,授
char872,探
char873,控
char874,推
char875,掩
char876,提
char877,揮
char878,搜
char879,搢
char880,摧
char881,摩
char882,摳
char883,搏
char884,摽
char885,撓
char886,撝
char887,撽
char888,擁
char889,擇
char890,擒
char891,擢
char892,擾
char893,攝
char894,攸
char895,政
char896,故
char897,教
char898,敏
char899,散
char900,敷
